name,category,slot,use,set,tier,craft_role,crafting,resource_info,mining_info,theme,pack,slug,url
"Ambush","ui-action","","Set an ambush.","","","ui action","UI action — not crafted.","—","—","RTS / RPG Command Actions","command-actions","ambush","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/command-actions/ambush.png"
"Siege","ui-action","","Deploy siege weapons.","","","ui action","UI action — not crafted.","—","—","RTS / RPG Command Actions","command-actions","siege","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/command-actions/siege.png"
"Rally","ui-action","","Set a rally point.","","","ui action","UI action — not crafted.","—","—","RTS / RPG Command Actions","command-actions","rally","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/command-actions/rally.png"
"Disband","ui-action","","Disband a group.","","","ui action","UI action — not crafted.","—","—","RTS / RPG Command Actions","command-actions","disband","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/command-actions/disband.png"
"Loot","ui-action","","Loot a container.","","","ui action","UI action — not crafted.","—","—","RTS / RPG Command Actions","command-actions","loot","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/command-actions/loot.png"
"Equip","ui-action","","Equip an item.","","","ui action","UI action — not crafted.","—","—","RTS / RPG Command Actions","command-actions","equip","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/command-actions/equip.png"
"Unequip","ui-action","","Unequip an item.","","","ui action","UI action — not crafted.","—","—","RTS / RPG Command Actions","command-actions","unequip","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/command-actions/unequip.png"
"Rest","ui-action","","Rest to recover.","","","ui action","UI action — not crafted.","—","—","RTS / RPG Command Actions","command-actions","rest","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/command-actions/rest.png"
"Pray","ui-action","","Pray / buff action.","","","ui action","UI action — not crafted.","—","—","RTS / RPG Command Actions","command-actions","pray","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/command-actions/pray.png"
"Stone Block","block","","Building block / crafting material.","","","building material","Crafted/placed building material; stacks in inventory.","Building resource — stack 64.","—","Mining Blocks & Items","mining-blocks","stone-block","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-blocks/stone-block.png"
"Dirt Block","block","","Building block / crafting material.","","","building material","Crafted/placed building material; stacks in inventory.","Building resource — stack 64.","—","Mining Blocks & Items","mining-blocks","dirt-block","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-blocks/dirt-block.png"
"Iron Ore","material","","Resource — crafting material.","","","gathered material","Gathered or salvaged, not crafted; used as a crafting ingredient.","Raw ore — smelt into ingots; stack 64.","Mineable deposit — drops raw resources when mined.","Mining Blocks & Items","mining-blocks","iron-ore","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-blocks/iron-ore.png"
"Gold Ore","material","","Resource — crafting material.","","","gathered material","Gathered or salvaged, not crafted; used as a crafting ingredient.","Raw ore — smelt into ingots; stack 64.","Mineable deposit — drops raw resources when mined.","Mining Blocks & Items","mining-blocks","gold-ore","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-blocks/gold-ore.png"
"Coal Vein","material","","Resource — crafting material.","","","gathered material","Gathered or salvaged, not crafted; used as a crafting ingredient.","Raw ore — smelt into ingots; stack 64.","Mineable deposit — drops raw resources when mined.","Mining Blocks & Items","mining-blocks","coal-vein","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-blocks/coal-vein.png"
"Diamond Chunk","material","","Resource — crafting material.","","","gathered material","Gathered or salvaged, not crafted; used as a crafting ingredient.","Rare material — high-value crafting / upgrade; stack 16.","Mineable deposit — drops raw resources when mined.","Mining Blocks & Items","mining-blocks","diamond-chunk","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-blocks/diamond-chunk.png"
"Wooden Pickaxe","tool","tool","Mining tool — faster ore harvest.","","","craftable recipe","Crafted at a Crafting Bench from refined alloy + components.","—","Mining tool — boosts dig speed & ore yield.","Mining Blocks & Items","mining-blocks","wooden-pickaxe","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-blocks/wooden-pickaxe.png"
"Iron Shovel","tool","tool","Shovel — fast digging tool.","","","craftable recipe","Crafted at a Crafting Bench from refined alloy + components.","—","—","Mining Blocks & Items","mining-blocks","iron-shovel","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-blocks/iron-shovel.png"
"Dynamite Stick","item","","Craftable item.","","","craftable recipe","Crafted at a Crafting Bench.","—","Demolition — clears rock fast for mining.","Mining Blocks & Items","mining-blocks","dynamite-stick","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-blocks/dynamite-stick.png"
"Support Beam","structure","","Structure — load-bearing build piece.","","","buildable structure","Built from plates / beams via the build menu.","Costs metal + power to build.","—","Mining Blocks & Items","mining-blocks","support-beam","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-blocks/support-beam.png"
"Lantern","utility","","Light source — illuminates caves.","","","craftable utility","Crafted at a Fabricator from components.","—","Mining safety / utility gear.","Mining Blocks & Items","mining-blocks","lantern","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-blocks/lantern.png"
"Rail Track","weapon","weapon","Firearm — primary ranged weapon.","","","craftable recipe","Crafted at a Crafting Bench from refined alloy + components.","—","Logistics — hauls mined ore from the dig site.","Mining Blocks & Items","mining-blocks","rail-track","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-blocks/rail-track.png"
"Minecart","logistics","","Logistics — moves resources along rails / belts.","","","buildable logistics","Built from plates / beams via the build menu.","—","Logistics — hauls mined ore from the dig site.","Mining Blocks & Items","mining-blocks","minecart","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-blocks/minecart.png"
"Elevator Winch","utility","","Traversal — grapple / winch to reach heights.","","","craftable utility","Crafted at a Fabricator from components.","—","Logistics — hauls mined ore from the dig site.","Mining Blocks & Items","mining-blocks","elevator-winch","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-blocks/elevator-winch.png"
"Drill Head","tool","tool","Mining tool — faster ore harvest.","","","craftable recipe","Crafted at a Crafting Bench from refined alloy + components.","—","Mining tool — boosts dig speed & ore yield.","Mining Blocks & Items","mining-blocks","drill-head","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-blocks/drill-head.png"
"Explosive Barrel","item","","Craftable item.","","","craftable recipe","Crafted at a Crafting Bench.","—","Demolition — clears rock fast for mining.","Mining Blocks & Items","mining-blocks","explosive-barrel","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-blocks/explosive-barrel.png"
"Ore Crate","material","","Resource — crafting material.","","","gathered material","Gathered or salvaged, not crafted; used as a crafting ingredient.","Raw ore — smelt into ingots; stack 64.","Mineable deposit — drops raw resources when mined.","Mining Blocks & Items","mining-blocks","ore-crate","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-blocks/ore-crate.png"
"Safety Helmet","wearable","head","Headgear — protection & utility.","","","craftable recipe","Crafted at a Crafting Bench from refined alloy + components.","—","Mining safety / utility gear.","Mining Blocks & Items","mining-blocks","safety-helmet","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-blocks/safety-helmet.png"
"Survey Map","navigation","","Map — reveals area / recipe location.","","","craftable utility","Crafted at a Fabricator from components.","—","—","Mining Blocks & Items","mining-blocks","survey-map","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-blocks/survey-map.png"
"Boss Core","material","","Resource — crafting material.","","","gathered material","Gathered or salvaged, not crafted; used as a crafting ingredient.","Raw ore — smelt into ingots; stack 64.","Mineable deposit — drops raw resources when mined.","Mining Blocks & Items","mining-blocks","boss-core","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-blocks/boss-core.png"
"Treasure Chest","storage","","Storage container.","","","buildable storage","Built from plates / beams via the build menu.","—","—","Mining Blocks & Items","mining-blocks","treasure-chest","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-blocks/treasure-chest.png"
"Health Pack","consumable","","Consumable — restores health.","","","craftable consumable","Crafted at a Med Station from medical components.","Single-use — consumed on use.","—","Mining Blocks & Items","mining-blocks","health-pack","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-blocks/health-pack.png"
"Ammo Crate","storage","","Storage container.","","","buildable storage","Built from plates / beams via the build menu.","—","—","Mining Blocks & Items","mining-blocks","ammo-crate","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-blocks/ammo-crate.png"
"Victory Trophy","reward","","Reward — quest / achievement payout.","","","reward (not craftable)","Awarded for quests / achievements — not crafted.","—","—","Mining Blocks & Items","mining-blocks","victory-trophy","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-blocks/victory-trophy.png"
"Cave Mushroom","material","","Resource — crafting material.","","","gathered material","Gathered or salvaged, not crafted; used as a crafting ingredient.","Crafting material; stack 64.","—","Mining Blocks & Items","mining-blocks","cave-mushroom","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-blocks/cave-mushroom.png"
"Pickaxe","tool","tool","Mining tool — faster ore harvest.","","","craftable recipe","Crafted at a Crafting Bench from refined alloy + components.","—","Mining tool — boosts dig speed & ore yield.","Mining Gear & Stations","mining-gear","pickaxe","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-gear/pickaxe.png"
"Shovel","tool","tool","Shovel — fast digging tool.","","","craftable recipe","Crafted at a Crafting Bench from refined alloy + components.","—","—","Mining Gear & Stations","mining-gear","shovel","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-gear/shovel.png"
"Helmet","wearable","head","Headgear — protection & utility.","","","craftable recipe","Crafted at a Crafting Bench from refined alloy + components.","—","Mining safety / utility gear.","Mining Gear & Stations","mining-gear","helmet","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-gear/helmet.png"
"Lantern","utility","","Light source — illuminates caves.","","","craftable utility","Crafted at a Fabricator from components.","—","Mining safety / utility gear.","Mining Gear & Stations","mining-gear","lantern","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-gear/lantern.png"
"Backpack","wearable","","Wearable — capacity / protection buff.","","","craftable recipe","Crafted at a Crafting Bench from refined alloy + components.","—","—","Mining Gear & Stations","mining-gear","backpack","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-gear/backpack.png"
"Mining Bench","station","","Crafting station — unlocks & levels recipes.","","","crafting station","Built from metal plates + a power cell; unlocks/levels recipes.","Costs metal + power to build.","—","Mining Gear & Stations","mining-gear","mining-bench","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-gear/mining-bench.png"
"Forge","station","","Crafting station — unlocks & levels recipes.","","","crafting station","Built from metal plates + a power cell; unlocks/levels recipes.","Costs metal + power to build.","—","Mining Gear & Stations","mining-gear","forge","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-gear/forge.png"
"Smelter","station","","Crafting station — unlocks & levels recipes.","","","crafting station","Built from metal plates + a power cell; unlocks/levels recipes.","Costs metal + power to build.","—","Mining Gear & Stations","mining-gear","smelter","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-gear/smelter.png"
"Drill Rig","station","","Crafting station — unlocks & levels recipes.","","","crafting station","Built from metal plates + a power cell; unlocks/levels recipes.","Costs metal + power to build.","Mining tool — boosts dig speed & ore yield.","Mining Gear & Stations","mining-gear","drill-rig","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-gear/drill-rig.png"
"Conveyor","logistics","","Logistics — moves resources along rails / belts.","","","buildable logistics","Built from plates / beams via the build menu.","—","Logistics — hauls mined ore from the dig site.","Mining Gear & Stations","mining-gear","conveyor","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-gear/conveyor.png"
"Explosives Bench","station","","Crafting station — unlocks & levels recipes.","","","crafting station","Built from metal plates + a power cell; unlocks/levels recipes.","Costs metal + power to build.","Demolition — clears rock fast for mining.","Mining Gear & Stations","mining-gear","explosives-bench","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-gear/explosives-bench.png"
